,index,fopt,rb1,rb2,tc1,tc2,Rib,kbd,ksp,tu1,tu2,protein,Rb,Tc,kbd_factor,protein_expr_rate
0,0,0.0,0.0,16.95359714832658,1750.0,584.7679857416329,50,0.005,0.5,0.0,165.23201425836714,,16.95359714832658,2334.767985741633,0.1,
1,1,0.05,0.28880785654963687,16.178351343914965,1741.616789800116,590.7190062022069,50,0.005,0.5,8.383210199883933,159.28099379779314,1676.6420399767865,16.467159200464604,2332.335796002323,0.1,16.766420399767863
2,2,0.1,0.5889554983440171,15.389262359192754,1732.9891089287685,596.9019803589155,50,0.005,0.5,17.010891071231526,153.09801964108453,1701.0891071231526,15.978217857536771,2329.891089287684,0.1,17.010891071231526
3,3,0.15,0.900782103329826,14.586936852340628,1724.1157892167528,603.3228055615995,50,0.005,0.5,25.884210783247227,146.67719443840053,1725.6140522164817,15.487718955670454,2327.438594778352,0.1,17.256140522164817
4,4,0.2,1.2246077031829214,13.772089524185349,1714.9966972273683,609.9867889094731,50,0.005,0.5,35.00330277263174,140.01321109052685,1750.165138631587,14.99669722736827,2324.9834861368413,0.1,17.50165138631587
5,5,0.25,1.5607282886119214,12.945546006702166,1705.6328428691427,616.8985286074278,50,0.005,0.5,44.36715713085732,133.1014713925722,1774.6862852342927,14.506274295314087,2322.5313714765707,0.1,17.746862852342925
6,6,0.3,1.9094106756902551,12.108244088062497,1696.0264821456292,624.0617916731346,50,0.005,0.5,53.97351785437081,125.93820832686538,1799.1172618123603,14.017654763752752,2320.088273818764,0.1,17.991172618123603
7,7,0.35,2.270887228597838,11.261233001818024,1686.1812104032279,631.4793907488515,50,0.005,0.5,63.81878959677215,118.52060925114847,1823.3939884792044,13.532120230415861,2317.6606011520794,0.1,18.233939884792044
8,8,0.4,2.645350555453018,10.405670541915441,1676.102042194737,639.1530632921053,50,0.005,0.5,73.8979578052631,110.84693670789466,1847.4489451315776,13.051021097368459,2315.2551054868422,0.1,18.474489451315776
9,9,0.45,3.0329483130729606,9.542817818946887,1665.7954737970447,647.0833568630546,50,0.005,0.5,84.20452620295532,102.91664313694537,1871.2116933990071,12.575766132019847,2312.878830660099,0.1,18.71211693399007
