,fopt,kch,species,delta
585,0.88,3,Tc2,1990.047928607974
586,0.89,3,Tc2,1950.4175137944553
587,0.9,3,Tc2,1911.4263430614058
588,0.91,3,Tc2,1873.1651347345276
589,0.92,3,Tc2,1835.695013905159
590,0.93,3,Tc2,1799.0552516655596
591,0.94,3,Tc2,1763.2689013616252
592,0.95,3,Tc2,1728.3469433470812
593,0.96,3,Tc2,1694.2913600312165
594,0.97,3,Tc2,1661.0974355746962
595,0.98,3,Tc2,1628.7554879733862
596,0.99,3,Tc2,1597.2521817298898
597,1.0,3,Tc2,1566.5715279244737
598,0.01,10,Tc2,31.877848848026247
599,0.02,10,Tc2,32.70579164671403
600,0.03,10,Tc2,33.56642696763004
601,0.04,10,Tc2,34.46149401094657
602,0.05,10,Tc2,35.392848493876265
603,0.06,10,Tc2,36.362472060025674
604,0.07,10,Tc2,37.37248257650375
605,0.08,10,Tc2,38.42514541424011
606,0.09,10,Tc2,39.52288581861014
607,0.1,10,Tc2,40.66830249029177
608,0.11,10,Tc2,41.86418251120474
609,0.12,10,Tc2,43.11351776686936
610,0.13,10,Tc2,44.419523035807586
611,0.14,10,Tc2,45.78565593789672
612,0.15,10,Tc2,47.21563895836321
613,0.16,10,Tc2,48.71348379190859
614,0.17,10,Tc2,50.28351828351272
615,0.18,10,Tc2,51.93041627865976
616,0.19,10,Tc2,53.6592307373183
617,0.2,10,Tc2,55.47543051349914
618,0.21,10,Tc2,57.3849412562738
619,0.22,10,Tc2,59.394190950274556
620,0.23,10,Tc2,61.51016068443761
621,0.24,10,Tc2,63.74044131892175
622,0.25,10,Tc2,66.09329681280934
623,0.26,10,Tc2,68.5777350811548
624,0.27,10,Tc2,71.20358737089128
625,0.28,10,Tc2,73.9815972833383
626,0.29,10,Tc2,76.92352072795678
627,0.3,10,Tc2,80.04223827069545
628,0.31,10,Tc2,83.35188154238715
629,0.32,10,Tc2,86.86797560037284
630,0.33,10,Tc2,90.6075993920239
631,0.34,10,Tc2,94.58956675296113
632,0.35,10,Tc2,98.83463068533774
633,0.36,10,Tc2,103.36571400164863
634,0.37,10,Tc2,108.20816978108486
635,0.38,10,Tc2,113.39007546081338
636,0.39,10,Tc2,118.94256475690658
637,0.4,10,Tc2,124.9002019545286
638,0.41,10,Tc2,131.30140338494192
639,0.42,10,Tc2,138.18891105914577
640,0.43,10,Tc2,145.61032336736147
641,0.44,10,Tc2,153.61868735385244
642,0.45,10,Tc2,162.27315615628854
643,0.46,10,Tc2,171.6397135019234
644,0.47,10,Tc2,181.79196432134944
645,0.48,10,Tc2,192.81198608099413
646,0.49,10,Tc2,204.79122867944267
647,0.5,10,Tc2,217.8314408071001
648,0.51,10,Tc2,232.04558637468133
649,0.52,10,Tc2,247.5586945079724
650,0.53,10,Tc2,264.50855891784477
651,0.54,10,Tc2,283.0461651945993
652,0.55,10,Tc2,303.3356757594274
653,0.56,10,Tc2,325.55374034610026
654,0.57,10,Tc2,349.8878249121141
655,0.58,10,Tc2,376.53316668257696
656,0.59,10,Tc2,405.6878758515378
657,0.6,10,Tc2,437.5456321982138
658,0.61,10,Tc2,472.2853969926344
