,index,fopt,rb1,rb2,tc1,tc2,kch,tu1,tu2,protein,Rb,Tc,protein_expr_rate,Rf,ratio
0,42,0.49,533.3924212988546,-33.81659731447621,2.9225140724974255,-47.97860780209456,0.025,1247.0774859275025,1297.9786078020945,21.208800781079976,499.5758239843784,-45.05609372959713,0.21208800781079976,0.42417601562158325,0.5
1,44,0.51,-33.81659731447621,533.3924212988546,-47.97860780209456,2.9225140724974255,0.025,1297.9786078020945,1247.0774859275025,21.208800781079976,499.5758239843784,-45.05609372959713,0.21208800781079976,0.42417601562158325,0.5
2,135,0.5,249.58746549700365,249.58746549700365,12.396491010923128,12.396491010923128,0.05,1237.6035089890768,1237.6035089890768,41.253450299635894,499.1749309940073,24.792982021846257,0.41253450299635896,0.8250690059927024,0.5
3,231,0.5,249.18305905206876,249.18305905206876,24.588578103152432,24.588578103152432,0.1,1225.4114218968475,1225.4114218968475,81.69409479312317,498.3661181041375,49.177156206304865,0.8169409479312317,1.633881895862487,0.5
4,324,0.5,248.39783335815966,248.39783335815966,48.3750186197344,48.3750186197344,0.2,1201.6249813802656,1201.6249813802656,160.2166641840354,496.7956667163193,96.7500372394688,1.6021666418403542,3.2043332836806826,0.5
5,413,0.5,246.9164327300925,246.9164327300925,93.6622737846948,93.6622737846948,0.4,1156.337726215305,1156.337726215305,308.35672699074803,493.832865460185,187.3245475693896,3.0835672699074803,6.167134539814981,0.5
6,498,0.5,244.27140400421484,244.27140400421484,175.8882507902858,175.8882507902858,0.8,1074.1117492097142,1074.1117492097142,572.8595995785142,488.5428080084297,351.7765015805716,5.728595995785143,11.457191991570312,0.5
7,586,0.5,240.0,240.0,312.5,312.5,1.6,937.5,937.5,1000.0,480.0,625.0,10.0,20.0,0.5
8,683,0.5,234.15809309696712,234.15809309696712,507.41061392033333,507.41061392033333,3.2,742.5893860796666,742.5893860796666,1584.1906903032889,468.31618619393424,1014.8212278406667,15.84190690303289,31.683813806065757,0.5
9,784,0.5,227.82042765323177,227.82042765323177,730.1662731226197,730.1662731226197,6.4,519.8337268773803,519.8337268773803,2217.9572346768227,455.64085530646355,1460.3325462452394,22.17957234676823,44.35914469353645,0.5
10,885,0.5,222.48451301963198,222.48451301963198,927.5528869488121,927.5528869488121,12.8,322.4471130511879,322.4471130511879,2751.548698036803,444.96902603926395,1855.1057738976242,27.51548698036803,55.03097396073605,0.5
11,986,0.5,218.85070046172555,218.85070046172555,1067.484573017923,1067.484573017923,25.6,182.5154269820771,182.5154269820771,3114.929953827449,437.7014009234511,2134.969146035846,31.14929953827449,62.298599076548896,0.5
