,fopt,time,protein,kch
73,0.73,200.0,13611.333333333334,30.0
74,0.75,100.0,6527.666666666667,30.0
75,0.75,200.0,13274.0,30.0
76,0.77,100.0,6367.333333333333,30.0
77,0.77,200.0,12945.0,30.0
78,0.79,100.0,6167.333333333333,30.0
79,0.79,200.0,12606.666666666666,30.0
80,0.81,100.0,6028.666666666667,30.0
81,0.81,200.0,12304.0,30.0
82,0.83,100.0,5916.666666666667,30.0
83,0.83,200.0,12015.0,30.0
84,0.85,100.0,5729.0,30.0
85,0.85,200.0,11719.333333333334,30.0
86,0.87,100.0,5571.0,30.0
87,0.87,200.0,11462.333333333334,30.0
88,0.89,100.0,5500.333333333333,30.0
89,0.89,200.0,11176.0,30.0
90,0.91,100.0,5395.666666666667,30.0
91,0.91,200.0,10956.666666666666,30.0
92,0.93,100.0,5203.0,30.0
93,0.93,200.0,10677.333333333334,30.0
94,0.95,100.0,5068.333333333333,30.0
95,0.95,200.0,10488.333333333334,30.0
96,0.97,100.0,5006.0,30.0
97,0.97,200.0,10239.0,30.0
98,0.99,100.0,4960.333333333333,30.0
99,0.99,200.0,10035.666666666666,30.0
100,0.01,100.0,6574.333333333333,100.0
101,0.01,200.0,13435.0,100.0
102,0.03,100.0,6727.666666666667,100.0
103,0.03,200.0,13703.333333333334,100.0
104,0.05,100.0,6903.666666666667,100.0
105,0.05,200.0,14001.666666666666,100.0
106,0.07,100.0,7031.666666666667,100.0
107,0.07,200.0,14306.666666666666,100.0
108,0.09,100.0,7184.666666666667,100.0
109,0.09,200.0,14616.666666666666,100.0
110,0.11,100.0,7365.666666666667,100.0
111,0.11,200.0,14951.666666666666,100.0
112,0.13,100.0,7522.0,100.0
113,0.13,200.0,15292.0,100.0
114,0.15,100.0,7698.666666666667,100.0
115,0.15,200.0,15659.0,100.0
116,0.17,100.0,7906.666666666667,100.0
117,0.17,200.0,16027.666666666666,100.0
118,0.19,100.0,8084.666666666667,100.0
119,0.19,200.0,16434.0,100.0
120,0.21,100.0,8306.333333333334,100.0
121,0.21,200.0,16848.333333333332,100.0
122,0.23,100.0,8527.333333333334,100.0
123,0.23,200.0,17283.666666666668,100.0
124,0.25,100.0,8751.666666666666,100.0
125,0.25,200.0,17747.666666666668,100.0
126,0.27,100.0,8994.0,100.0
127,0.27,200.0,18227.666666666668,100.0
128,0.29,100.0,9246.666666666666,100.0
129,0.29,200.0,18727.666666666668,100.0
130,0.31,100.0,9521.0,100.0
131,0.31,200.0,19270.666666666668,100.0
132,0.33,100.0,9800.333333333334,100.0
133,0.33,200.0,19843.33333333333,100.0
134,0.35,100.0,10100.0,100.0
135,0.35,200.0,20446.0,100.0
136,0.37,100.0,10426.333333333334,100.0
137,0.37,200.0,21089.33333333333,100.0
138,0.39,100.0,10764.0,100.0
139,0.39,200.0,21770.33333333333,100.0
140,0.41,100.0,11125.333333333334,100.0
141,0.41,200.0,22490.33333333333,100.0
142,0.43,100.0,11511.666666666666,100.0
143,0.43,200.0,23268.33333333333,100.0
144,0.45,100.0,11931.666666666666,100.0
145,0.45,200.0,24091.33333333333,100.0
146,0.47,100.0,12376.0,100.0
147,0.47,200.0,24981.666666666668,100.0
148,0.49,100.0,12848.0,100.0
149,0.49,200.0,25924.666666666668,100.0
150,0.51,100.0,13352.666666666666,100.0
151,0.51,200.0,26938.33333333333,100.0
152,0.53,100.0,13903.666666666666,100.0
153,0.53,200.0,28044.33333333333,100.0
154,0.55,100.0,14492.666666666666,100.0
155,0.55,200.0,29223.33333333333,100.0
156,0.57,100.0,15133.666666666666,100.0
157,0.57,200.0,30494.33333333333,100.0
158,0.59,100.0,15809.333333333334,100.0
159,0.59,200.0,31855.666666666668,100.0
160,0.61,100.0,16548.0,100.0
161,0.61,200.0,33320.333333333336,100.0
162,0.63,100.0,17323.0,100.0
163,0.63,200.0,34883.666666666664,100.0
164,0.65,100.0,18110.0,100.0
165,0.65,200.0,36469.0,100.0
